Name,id_Number,ExposureTime
Steven Henley,91902201809274958,49.0
Erin Serrell,10707200203039606,45.0
David Ferber,79461195304211842,43.0
Paul Abbott,32979197407141829,42.0
Ronald Lamb,11939198412054942,42.0
Jacqueline Key,11606201502206319,41.0
James Archuleta,78123198703168356,41.0
Nancy Avella,34124193211171765,41.0
Stacy Wang,22460201307164487,41.0
Brandon Allison,79418195607227075,41.0
Lucinda Whitley,44350199411086116,40.0
Jerry Bevens,62050199603167879,40.0
Herman Barnwell,40445196912317834,40.0
Robin Kinney,19137197401134294,39.0
James Smith,59864194705073338,39.0
David Boettcher,89779193406219309,39.0
Paul Mobley,40678196701022247,39.0
Richard Grawe,31096193505142055,39.0
Joshua Hoskins,11389198102208206,39.0
John Kelly,59988199308178534,39.0
Karen Horner,83132195701211265,39.0
Ethel Pugh,89038201508082835,39.0
Paul Kelley,86240194209166008,38.0
Steven Gendreau,34479194112259897,38.0
Julie Reed,25996200007195034,38.0
Eric Holbrook,64942196511035805,38.0
Nina Govea,91493194509191579,38.0
Daniel Deubler,53271196305302876,38.0
Dustin Phillips,90447197407058148,37.0
Patricia Woody,73755195304201784,37.0
Patricia Powell,44341196908149259,37.0
Erwin Price,33789195303207979,37.0
Rodolfo Nielsen,10025196310069705,37.0
Ines Mcmillan,19509194802034447,37.0
Shirley Langford,17532200912205018,37.0
Molly Goldstein,93890195602209084,36.0
Donald Diaz,74108197606139192,36.0
Barbara Velasquez,47012194206033026,36.0
Frank Jenkins,22075198309296015,36.0
Ricky Hug,30633198510112919,36.0
Christopher Stein,53734201204201093,36.0
Michelle Pass,35285200503162857,36.0
Jeremy Graham,80100196004137212,35.0
Joann Bakke,80799199504182769,35.0
Elaine Smith,93027200012238796,35.0
Terry Bock,43258196905042607,35.0
Nancy Masom,54124193305232094,35.0
Michelle Boucher,50329198602211888,35.0
Priscilla Waller,47971199102213166,35.0
Jonathan Smith,37982194212179308,35.0
Patty Abney,55802201412059785,35.0
Sarah Hays,20773193806236277,35.0
Karl Miller,73035195706154171,35.0
Colleen Hodgens,37767195807221216,35.0
Robert Miser,11732196103046912,35.0
Kathleen Roberts,60953198011087680,35.0
Darlene Bradley,47678194505274611,34.0
Adam Banner,60872197106028892,34.0
Vincent Santos,72991195205029442,34.0
William Wilburn,50681198105299399,34.0
Elizabeth Delaney,71864197606079578,34.0
Esteban Bender,64999195503299406,34.0
James Sturgis,45657194806255139,34.0
Kathy Holcomb,93810198307094093,34.0
Guy Nieves,78375200101123815,34.0
Barry Mcelwaine,46232199705267890,34.0
Todd Phillips,47792194906085579,34.0
Elizabeth Johnson,63202201902017391,33.0
Jose Edmondson,57174194904165542,33.0
Leonard Killay,32514196103292081,33.0
Lois Hyde,97800194710171103,33.0
Ron Simmons,25630198908246162,33.0
Marjorie Dirickson,48127200912037646,33.0
Anette Kyle,84092195803238303,33.0
Mark Kenan,23931195705082850,33.0
Edward Morales,96075198609293939,33.0
Joe Tugwell,97043195310124032,33.0
Jessica Thompson,32648196808208037,33.0
Casey Iuliucci,10894195807013711,33.0
Kristi Ross,92711195908042185,33.0
Harry Aldrich,66389197909172523,33.0
Rita Chick,64439193004217891,33.0
Anibal Mayo,63239193202162241,33.0
Barbara Edenfield,42923195705137865,33.0
Manuel Clement,86898198412242996,33.0
James Nell,82630199004089234,32.0
Martha Washington,62453198909204203,32.0
Diane Bradley,19257200307222997,32.0
Willie Tartaglia,34158199701031144,32.0
Stanley Rascon,24044194303268018,32.0
Timothy Stanfield,53285200909029880,32.0
Thomas Potter,93689201009124628,32.0
Gordon Lombardi,19895194704163470,32.0
Summer Ekmark,53207199206204879,32.0
Tammie Abel,45513196610192806,32.0
Brenda Martinez,10674198910275492,32.0
Stephanie Bay,57798201801237997,32.0
Anne Vela,58327199010143762,32.0
Fred Higgins,88928195706032163,32.0
Billy Smith,10353198612193266,32.0
Ryan Brown,93752197008064574,31.0
Adolfo Burton,84712201909152830,31.0
Dennis Wylie,28645196007208404,31.0
Dewey Allen,41898194412154403,31.0
Edna Clark,54012195503177641,31.0
Kenneth Storey,47886195706304072,31.0
Thomas Gonzales,60614201806021110,31.0
Elise Lorber,64450198112049723,31.0
Maureen Sturkie,26361199409155088,31.0
Morgan Lee,30990199107286434,31.0
Austin Ashworth,39237199912113150,31.0
Pamela Hartley,94053199201013437,31.0
Rosa Lopez,75890198501057291,31.0
Melissa Brown,70491198009302911,31.0
Jay Lintz,44960198312062338,31.0
Clara Jones,64014199507216799,31.0
Lorena Stickley,99771193503093648,31.0
Cora Smith,24862199712253493,31.0
Howard Montgomery,69530200907253021,31.0
John Luna,43752201901039626,31.0
Robert Hoey,30486198703091554,31.0
