Name,id_Number,row_Number,seat_Number,auditorium_Number,test_result,score
"Aaron Cave",16468200709121559,46,47,4,False,82.16688916666666
"Aaron Cullins",31326194909026791,14,13,6,NULL,55.339504549999994
"Aaron Jones",22363196908218633,68,29,4,NULL,76.14685714166667
"Aaron Kimmer",39393193504274332,33,36,2,True,72.34627379166668
"Aaron Selby",98571194410035095,40,23,4,NULL,70.98043770833333
"Aaron Tamura",32143194906296211,26,25,6,False,73.44344045576031
"Aaron Turner",43262193503188083,31,36,2,True,61.292429483333336
"Aaron Wallin",38689197101147259,39,46,4,NULL,80.954978
"Aaron Watkins",99453198307304264,49,40,4,False,79.70411353333333
"Abbey Olson",39662196108256461,31,51,4,False,63.646335158333336
"Abbie Lee",16807196510053133,29,54,4,NULL,78.467807675
"Abigail Cantu",57718198201229841,56,3,2,NULL,67.1981117
"Abraham Burns",78478198504119354,44,42,1,NULL,67.89319778333333
"Abraham Meza",37103193906117005,39,66,1,NULL,56.386282058333336
"Abraham Rutledge",93505197301309622,48,62,4,False,75.22967855833333
"Ada George",49649198403043568,27,29,3,False,82.28751646666666
"Ada Hughes",40405198907148461,41,49,4,False,81.2659725
"Ada Keith",13278195304199512,6,26,4,False,70.40893220833334
"Ada Ronin",93630196501198312,52,58,2,False,73.44344045576031
"Ada Werre",98783197911139555,26,62,4,NULL,82.285315
"Adalberto Mills",46930194002078964,46,14,4,False,65.33957325
"Adam Banner",60872197106028892,33,43,3,False,82.43417855
"Adam Bannerman",20170195003306052,9,13,3,NULL,73.44344045576031
"Adam Cecena",59252195502229808,39,8,1,True,73.44344045576031
"Adam Chandler",66495201607066304,39,1,3,NULL,65.51442307500001
"Adam Garner",66915193910227603,39,54,1,NULL,62.34988918333334
"Adam Gore",13365200303011504,43,36,4,NULL,81.67221060833334
"Adam Guy",79079198102125052,29,35,4,NULL,68.60297435833334
"Adam Hartnett",80455199510075222,14,63,1,False,73.44344045576031
"Adam Hassett",60229194708064365,28,63,2,False,64.77051645
"Adam Leich",74230198911052626,29,55,1,NULL,86.24739925833333
"Adam Longley",40738194111073085,32,54,5,False,68.41614741666667
"Adam Luna",31042200204049236,31,26,6,False,73.81852195833332
"Adam Mcelrath",51385198301162533,21,12,5,False,93.378247225
"Adam Morris",38485193909237326,19,65,1,False,64.42745054166667
"Adam Olive",26735200711257485,25,57,2,False,77.802601625
"Adam Sheets",16998196503169837,4,11,2,False,77.32551829166667
"Adam Stokes",85776197208105695,31,31,2,False,72.701234425
"Adam Turzak",68110201503161954,21,1,6,False,76.5817262
"Adam Washington",49044193312192285,40,32,6,False,61.048814099999994
"Adam Whitlock",49596198812193309,41,12,6,False,77.16563735833333
"Adam Wilson",21684195602195569,3,22,2,NULL,73.44344045576031
"Adele Gummer",51668201003198364,28,7,3,True,80.39362725833334
"Adele Olson",90748195012026526,11,45,1,NULL,76.00760069166667
"Adele Rogers",90565198609018736,16,33,4,False,73.44344045576031
"Adele Salcido",14740193708133370,49,30,4,NULL,64.91745328333334
"Adeline Maldonado",33591198006307713,52,18,4,False,66.09333696666666
"Adeline Nance",73937196403049477,9,8,5,False,69.03807875000001
"Adeline Schultz",48276198904298424,7,37,5,True,75.689203275
"Adolfo Burton",84712201909152830,19,38,4,False,78.05937635
"Adolfo Davilla",27887195302056192,11,42,1,False,73.44344045576031
"Adrian Flood",12248193206223018,6,54,2,False,59.39957505833333
"Adrian Taylor",35943195007265081,34,52,2,False,65.35521884166667
"Adrianna Anderson",21265194208106240,3,14,1,False,62.93562636666666
"Adrienne Evans",68752199603074521,11,46,5,True,73.44344045576031
"Adrienne Kittel",20497195501056278,18,53,4,False,62.61340108333333
"Adrienne Macdougall",18268198508072601,15,32,6,False,73.44344045576031
"Adrienne Moore",94540193809092011,36,41,6,False,73.44344045576031
"Agnes Brashears",54574200811184616,3,58,4,False,72.53186445
"Agnes Cohen",81690201202021704,35,52,4,False,73.44344045576031
"Agnes Eliason",13528201105295586,31,68,4,False,89.28368771666666
"Agnes Gelabert",61114198201011541,4,41,6,NULL,77.26632049999999
"Agnes Jin",88272199806131988,19,16,2,False,82.94766023333334
"Agnes Lopez",87298197703312305,4,12,6,False,86.54735803333334
"Agnes Oconnell",92244198201056785,10,38,1,NULL,74.15637545
"Agnes Poole",10235201508301978,7,42,2,False,82.979292125
"Agnes Romero",88458198302032629,7,2,1,NULL,85.82836903333335
"Agnes Sanchez",64458193902035762,3,39,1,False,70.3710586
"Agnes Savino",24945195303186597,2,39,3,False,76.11995143333333
"Agnes Severn",46191198409202781,43,31,2,False,70.84373624166666
"Agnes Woods",69436193304136167,15,21,4,NULL,63.84631775833333
"Agustin Leone",77159195111174855,13,12,2,NULL,60.04886811666667
"Aida Radden",85979193101067415,54,53,4,False,57.8405238
"Aida Studer",59849195405191220,4,5,1,True,65.18165931666667
"Aileen Jackson",13281193802196939,20,41,1,False,70.62679576666666
"Aimee Holcomb",55944201006042292,14,35,2,NULL,81.24929760833334
"Aisha Stevenson",58887193603291954,6,56,5,False,54.28645054166667
"Aisha Tatro",95600200708176906,44,31,2,False,77.18533696666667
"Aisha Watkins",87779198007082451,5,29,2,False,69.04031955833334
"Al Hensley",37039193908258977,26,8,6,False,73.44344045576031
"Al Kubie",15194201104177947,66,37,4,False,79.71341208333334
"Al Minor",53177197011245382,41,6,6,NULL,73.44344045576031
"Alan Boltz",46145201912013638,35,2,4,False,74.77085255833333
"Alan Borden",38152198102076952,12,26,5,False,68.27686720833334
"Alan Bulow",95369196111094474,28,11,2,NULL,66.12669503333333
"Alan Collins",57289197805032139,11,34,4,False,73.44344045576031
"Alan Edwards",84956193911166081,7,26,1,False,73.44344045576031
"Alan Gamble",89473199911247719,3,30,3,False,90.49411904166666
"Alan Gasper",71660196301036321,25,31,2,False,64.89406500833333
"Alan Gray",37879201107253228,4,47,2,False,73.22372341666666
"Alan Hedlund",48085193401202388,36,58,1,False,73.44344045576031
"Alan Inyart",46783194310177424,59,1,4,NULL,80.55771884999999
"Alan Kim",39521193210195222,4,52,1,False,66.10120143333333
"Alan Kretschmer",35201201204246970,1,36,2,NULL,74.70528937499999
"Alan Lamay",62128196701233820,35,4,2,NULL,70.10285988333334
"Alan Mcnett",14888194002039905,6,4,1,NULL,60.41140658333334
"Alan Ramos",79196196106068114,36,29,2,NULL,76.82219594166668
"Alan Whirry",18578200607141478,34,63,1,NULL,72.258687725
"Alan White",97271196308206098,15,56,4,NULL,69.68415840833333
"Alana Zielinski",93182196504012229,35,51,1,True,65.345412075
"Alanna Burkholder",55533199906127324,34,39,4,False,70.35109979166667
"Alba Fox",32494198711091445,33,11,6,NULL,81.87649265
"Alba Villa",84463197411142139,20,6,4,NULL,68.45489925833334
"Albert Barham",34063200903185257,10,8,1,NULL,75.02593131666667
"Albert Butler",30618199802272937,49,42,1,False,84.03444045833334
"Albert Castaneda",35662193005094234,12,20,2,False,59.516170316666674
"Albert Green",52292199011095723,1,45,2,True,75.01096610833334
"Albert Hill",51254199503249716,51,55,2,False,70.89116666666666
"Albert Hoffpavir",58287197101217463,21,26,1,False,65.572848875
"Albert Lee",38966195901016911,38,50,5,False,73.44344045576031
"Albert Lemmo",64470193508218099,53,30,2,NULL,58.208695025000004
"Albert Lopez",87856199409221250,49,7,1,False,77.12524541666667
"Albert Mann",77127193212255025,4,33,4,False,73.44344045576031
"Albert Martins",88631198312309693,30,60,5,False,71.61708333333333
"Albert Maskell",47595199610288037,48,23,2,False,73.44344045576031
"Albert Momphard",67857202003204470,2,60,1,False,74.95530218333334
"Albert Overman",70337197612128515,22,11,4,NULL,73.44344045576031
"Albert Patterson",85432196208278724,27,34,1,False,77.997315925
"Albert Phillip",21915196612302588,23,43,6,True,73.939135525
"Albert Schiefelbein",17164198506293457,66,9,4,False,73.44344045576031
"Albert Turnipseed",40646200311059719,14,60,2,NULL,77.13773260833334
"Albert Walker",65907194708252537,36,25,1,False,69.34184155833333
"Alberta Aldrete",16253201907094285,7,62,5,False,78.24409978333333
"Alberta Ford",15540198301193583,22,62,2,False,77.007815925
"Alberta Martin",75725195105285064,24,28,4,False,73.44344045576031
"Alberto Fancher",10330193505076840,7,60,5,NULL,64.12669045833333
"Alberto Marquez",73583197012253101,56,31,4,NULL,63.327685900000006
"Alberto Nagel",81873200001173947,28,31,6,True,89.73469963333334
"Aldo Trask",28258199008078804,40,38,6,False,73.44344045576031
"Aleida Haas",75350200108044744,16,27,5,False,80.264747225
"Alejandra Carlen",16927199703121584,21,30,3,False,83.131069575
"Alejandra Keitsock",11824200701084567,46,61,1,False,76.15046609166667
"Alejandra Thurston",29063193407219346,32,26,1,False,60.889236233333335
"Alejandro Rodriquez",46150198904144928,7,30,2,False,87.55564285
"Alejandro Smith",63850199110189135,7,45,1,False,73.44344045576031
"Alejandro Taylor",74997194209167369,40,62,2,True,68.549091575
"Alesia Palomaki",19838200002152157,32,23,1,False,94.18667031666666
"Alessandra Guetersloh",91438195408082224,19,20,1,NULL,65.65629212500001
"Aletha Young",47738200009272260,10,17,6,False,79.03725001666668
"Alethia Bouchard",34239195904033818,56,38,2,NULL,85.52033878333333
"Alex Carroll",78122198005134426,56,46,4,False,67.705901075
"Alex Harrison",81687197408173596,50,64,2,False,74.64700090833333
"Alex Hayes",83159193606107371,32,27,3,False,56.79367122500001
"Alex Puckett",25915198406118744,32,62,5,False,77.080132775
"Alex Seal",85027200106127689,33,30,3,False,81.17090929999999
"Alexa Maples",86582201803069489,29,38,2,False,77.38700733333333
"Alexander Grove",76592194704288996,3,28,3,False,79.80650822499999
"Alexander Heuck",42452200007283469,23,22,4,False,72.8953443
"Alexander Johnston",85112193308114841,23,10,3,True,72.79859523333333
"Alexander Jones",21404198303185295,54,41,2,False,76.70150454166667
"Alexander Juarez",56568193612049045,9,34,2,False,50.964456041666665
"Alexander Martinez",19115196804222500,21,7,5,False,74.133645575
"Alexander Pritts",12668200807165711,25,34,1,NULL,83.474108975
"Alexander Showers",11414195304069478,15,50,2,False,79.12372618333333
"Alexander Waldron",18082193905248940,7,17,2,False,73.44344045576031
"Alexander Whittenbeck",15655200204278674,56,1,2,False,81.49543130833334
"Alexander Williams",33405196712107050,37,29,3,False,73.44344045576031
"Alexandra Baker",17288196412216439,21,23,2,True,66.03789376666667
"Alexandra Brill",58178199002066352,55,20,4,False,73.44344045576031
"Alexandra Cortez",31864201403139996,22,24,6,NULL,66.36160438333334
"Alexandra Davison",72061198609034646,8,41,4,False,78.639543925
"Alexandra Gomez",35910197201051248,31,10,4,NULL,83.575190475
"Alexandria Bailey",50915201806305677,4,61,2,False,69.12570695
"Alexandria Horowitz",29317198211266414,23,47,1,False,91.09999723333333
"Alexis Carpenter",85642200609285607,54,51,2,False,82.27605219166666
"Alexis Kelly",77266201009153090,58,12,2,False,73.44344045576031
"Alexis Turnbull",13986196810183943,42,58,5,NULL,70.23230951666667
"Alexis Whitlow",81096201302104087,44,37,5,NULL,74.13588185
"Alfonso Farley",35536193212127382,32,17,3,False,51.257071425
"Alfonso Graves",92069197505177273,6,4,6,False,85.58430953333333
"Alfonso Mcdaniel",80239201108168946,45,64,1,False,73.44344045576031
"Alfonzo Shaver",95077193906294341,40,57,4,False,62.68313002499999
"Alfred Bostian",33028200102257434,36,14,2,False,88.28615289166667
"Alfred Crews",74057202004089320,5,59,1,False,73.24020694166666
"Alfred Cunningham",71709199904128625,18,46,4,False,73.44344045576031
"Alfred Groves",16641198304057077,3,44,3,NULL,82.30526188333333
"Alfred Reyolds",69549201106108147,9,41,6,False,83.98563460833334
"Alfred Vasquez",93188195305062869,14,42,6,False,66.9676593
"Alfred Watson",13853195812176977,24,12,6,False,73.44344045576031
"Alfreda Duggan",95657195706169624,25,15,6,False,75.85374358333333
"Alfredia Bader",66078193606241405,10,6,3,NULL,47.67755219166666
"Alfredo Green",50116197106237601,43,34,5,NULL,61.74375090833334
"Alfredo Mullen",44676201301092774,45,4,1,False,83.79291298333334
"Alfredo Ryan",66064200508297808,27,1,2,NULL,85.52033975
"Alfredo Thomas",59972194711151919,42,62,5,False,63.79398259166666
